GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task.asynctask,CreateDumpTask,0,95,0,2,0,22,0,3,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task.asynctask,RestoreDumpTask,0,88,0,0,0,16,0,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.task.asynctask,DeleteDumpTask,0,33,0,0,0,7,0,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.controllers,AbstractController,0,10,0,0,0,3,0,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.controllers,ManagerController,44,434,7,25,5,100,7,20,0,11
db-dumper-service,com.orange.clara.cloud.servicedbdumper.controllers,InterfaceController,24,234,10,18,5,54,10,10,0,6
db-dumper-service,com.orange.clara.cloud.servicedbdumper.controllers,WelcomeController,15,3,0,0,5,1,3,1,3,1
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.InterfaceSecurity,46,0,2,0,16,0,5,0,4,0
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,DbCoreDumperConfig,0,23,0,0,0,6,0,6,0,6
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.ServiceBrokerSecurity,6,24,1,1,1,12,1,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,BinariesPathConfig,0,24,0,0,0,8,0,8,0,8
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,AppConfig,9,221,22,32,4,43,23,17,1,12
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig,0,76,0,0,0,6,0,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,SecurityConfig.AdminManagerSecurity,6,24,1,1,1,12,1,2,0,2
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,TaskConfig,0,19,0,0,0,5,0,5,0,5
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,WebApplicationConfig,0,27,0,0,0,4,0,3,0,3
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,CloudConfig,0,14,0,0,0,4,0,4,0,4
db-dumper-service,com.orange.clara.cloud.servicedbdumper.config,BrokerConfig,0,7,0,0,0,2,0,2,0,2
